Product,Issue,Company,State,Consumer disputed?,Cluster
Debt collection,"Loan modification,collection,foreclosure","FAIR COLLECTIONS & OUTSOURCING, INC.",PA,Yes,12
Student loan,Dealing with my lender or servicer,Immediate Credit Recovery,TX,No,7
Money transfers,Money was not available when promised,The Western Union Company,MA,No,14
Debt collection,"Loan modification,collection,foreclosure","Portfolio Recovery Associates, Inc.",NJ,No,6
Debt collection,"Loan modification,collection,foreclosure","Credit Bureau Collection Services, Inc.",FL,No,3
Mortgage,"Loan servicing, payments, escrow account",JPMorgan Chase & Co.,WA,No,7
Credit reporting,Unable to get credit report/credit score,Equifax,FL,Yes,12
Credit reporting,Credit reporting company's investigation,Experian,WA,No,0
Mortgage,"Loan servicing, payments, escrow account",Bank of America,CA,Yes,4
Mortgage,"Application, originator, mortgage broker",Crescent Mortgage,NH,No,0
Consumer Loan,Taking out the loan or lease,Santander Consumer USA Holdings Inc,FL,Yes,18
Bank account or service,"Account opening, closing, or management",PNC Bank N.A.,NY,No,6
Student loan,Can't repay my loan,Great Lakes,TX,No,19
Consumer Loan,Problems when you are unable to pay,"Enova International, Inc.",VA,Yes,12
Mortgage,"Loan servicing, payments, escrow account",JPMorgan Chase & Co.,TX,No,7
Debt collection,Improper contact or sharing of info,Greystone Alliance LLC,TX,No,19
Bank account or service,"Account opening, closing, or management",Bank of America,CA,No,17
Credit card,APR or interest rate,Citibank,MA,No,3
Bank account or service,"Account opening, closing, or management",BB&T Financial,FL,Yes,4
Other financial service,Advertising and marketing,"Social Finance, Inc.",VA,Yes,18
Credit card,Customer service / Customer relations,JPMorgan Chase & Co.,MO,No,7
Bank account or service,"Account opening, closing, or management",Fifth Third Financial Corporation,IL,No,0
Debt collection,Taking/threatening an illegal action,Wells Fargo & Company,TX,No,9
Debt collection,"Loan modification,collection,foreclosure","Convergent Resources, Inc.",IL,No,3
Payday loan,Charged fees or interest I didn't expect,"MNE Services, Inc",KY,No,7
Mortgage,"Loan servicing, payments, escrow account",Ocwen,WY,No,6
Bank account or service,"Account opening, closing, or management","SunTrust Banks, Inc.",FL,Yes,5
Debt collection,Taking/threatening an illegal action,"Credit Protection Association, L.P.",VA,No,0
Mortgage,"Application, originator, mortgage broker",Regions Financial Corporation,FL,No,13
Credit card,Advertising and marketing,Amex,GA,No,11
Student loan,Dealing with my lender or servicer,"Navient Solutions, Inc.",CA,No,16
Debt collection,Taking/threatening an illegal action,HSBC North America Holdings Inc.,SC,No,19
Credit reporting,Credit reporting company's investigation,Experian,OH,No,0
Bank account or service,Problems caused by my funds being low,Bank of America,NJ,No,17
Prepaid card,"Managing, opening, or closing account","PayPal Holdings, Inc.",UT,Yes,8
Debt collection,Communication tactics,"Credit Service Company, INC",CO,Yes,10
Student loan,Dealing with my lender or servicer,AES/PHEAA,TX,No,11
Credit card,Billing disputes,Citibank,FL,No,3
Credit card,Billing disputes,TD Bank US Holding Company,AL,No,2
Payday loan,Received a loan I didn't apply for,"Enova International, Inc.",TX,No,0
Credit card,Convenience checks,Capital One,CA,No,3
Consumer Loan,Managing the loan or lease,Ally Financial Inc.,NC,No,11
Consumer Loan,Problems when you are unable to pay,"OneMain Financial Holdings, LLC",WA,No,6
Consumer Loan,Managing the loan or lease,Citibank,NY,No,3
Bank account or service,Using a debit or ATM card,Regions Financial Corporation,AL,No,13
Bank account or service,Using a debit or ATM card,Capital One,NY,No,3
Mortgage,Credit decision / Underwriting,"Seterus, Inc.",SC,No,13
Debt collection,"Loan modification,collection,foreclosure",CAC Financial Corp,FL,No,17
Mortgage,Credit decision / Underwriting,Ditech Financial LLC,GA,No,0
Student loan,Dealing with my lender or servicer,"Navient Solutions, Inc.",UT,No,16
Prepaid card,Fraud or scam,"Travelex NY, Inc.",CO,No,14
Bank account or service,Problems caused by my funds being low,Bank of America,RI,No,17
Debt collection,"Loan modification,collection,foreclosure","Commonwealth Financial Systems, Inc.",FL,No,3
Mortgage,"Application, originator, mortgage broker",Ocwen,CA,No,6
Debt collection,Communication tactics,Wells Fargo & Company,MO,No,9
Credit card,Billing disputes,Bank of America,MI,Yes,4
Mortgage,"Loan servicing, payments, escrow account",Bank of America,FL,No,17
Bank account or service,"Account opening, closing, or management",KeyCorp,NY,No,7
Payday loan,Payment to acct not credited,CNG Financial Corporation,TX,No,3
Mortgage,"Loan servicing, payments, escrow account","Lakeview Loan Servicing, LLC",MD,No,7
Consumer Loan,Managing the loan or lease,Wells Fargo & Company,WY,No,9
Debt collection,Communication tactics,"Amsher Collection Services, Inc.",PA,No,11
Bank account or service,"Account opening, closing, or management",First Citizens,CA,Yes,12
Debt collection,"Loan modification,collection,foreclosure","Portfolio Recovery Associates, Inc.",PA,Yes,8
Bank account or service,Deposits and withdrawals,JPMorgan Chase & Co.,AZ,No,7
Payday loan,Charged fees or interest I didn't expect,Delbert Services,NJ,No,0
Debt collection,Improper contact or sharing of info,"Expert Global Solutions, Inc.",IA,No,0
Debt collection,Communication tactics,Radius Global Solutions LLC,CA,No,13
Mortgage,"Loan servicing, payments, escrow account",JPMorgan Chase & Co.,OR,No,7
Mortgage,"Loan servicing, payments, escrow account",Bank of America,CO,Yes,4
Credit card,Bankruptcy,Barclays PLC,CA,No,17
Payday loan,Charged fees or interest I didn't expect,"Harpeth Financial Services, LLC",TN,No,19
Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,MD,No,16
Credit card,Delinquent account,Capital One,IL,No,3
Debt collection,Improper contact or sharing of info,"Diversified Consultants, Inc.",AL,No,0
Mortgage,"Loan servicing, payments, escrow account",Ocwen,WI,No,6
Bank account or service,Deposits and withdrawals,Bank of America,FL,No,17
Debt collection,Improper contact or sharing of info,Wells Fargo & Company,MO,Yes,15
Credit card,Credit line increase/decrease,Capital One,NC,No,3
Student loan,Getting a loan,Experian,CO,No,0
Payday loan,Charged fees or interest I didn't expect,"Big Picture Loans, LLC",ND,No,17
Bank account or service,"Account opening, closing, or management",BB&T Financial,DE,Yes,4
Mortgage,"Application, originator, mortgage broker",Bank of the West,CA,Yes,4
Mortgage,"Loan servicing, payments, escrow account",U.S. Bancorp,WI,No,14
Mortgage,Settlement process and costs,Wells Fargo & Company,IL,No,9
Credit card,Closing/Cancelling account,Capital One,CO,No,3
Credit card,Transaction issue,Synchrony Financial,NJ,No,2
Credit reporting,Improper use of my credit report,Experian,CA,No,0
Debt collection,"Loan modification,collection,foreclosure","Aldous & Associates, PLLC",GA,No,11
Bank account or service,"Account opening, closing, or management","SunTrust Banks, Inc.",GA,No,2
Credit card,Delinquent account,Citibank,CA,No,3
Consumer Loan,Problems when you are unable to pay,JPMorgan Chase & Co.,CA,No,7
Debt collection,False statements or representation,Accurate Financial Partners,DE,No,11
Mortgage,"Loan servicing, payments, escrow account","Select Portfolio Servicing, Inc",GA,No,13
Bank account or service,"Account opening, closing, or management",U.S. Bancorp,GA,No,14
Student loan,Dealing with my lender or servicer,First Associates Loan Servicing LLC,LA,Yes,12
Credit card,APR or interest rate,Bank of America,WA,No,17
Consumer Loan,Managing the loan or lease,JPMorgan Chase & Co.,TX,No,7
Debt collection,Communication tactics,Renton Collections Inc.,WA,No,13
Mortgage,"Application, originator, mortgage broker",Citibank,GA,No,3
Debt collection,Improper contact or sharing of info,Performant Financial Corporation,MN,No,6
Debt collection,Improper contact or sharing of info,Bank of America,KS,No,17
Credit card,Billing disputes,Barclays PLC,IL,No,17
Debt collection,Communication tactics,"Credit Protection Association, L.P.",TX,No,0
Consumer Loan,Managing the loan or lease,JPMorgan Chase & Co.,FL,No,7
Consumer Loan,Managing the loan or lease,Wells Fargo & Company,CO,No,9
Debt collection,Taking/threatening an illegal action,"First National Collection Bureau, Inc.",MD,No,19
Student loan,Dealing with my lender or servicer,Nelnet,MD,No,16
Debt collection,"Loan modification,collection,foreclosure",Collection Service of Nevada,NV,No,3
Credit card,Customer service / Customer relations,Synchrony Financial,WI,No,2
Bank account or service,Problems caused by my funds being low,Wells Fargo & Company,CA,No,9
Bank account or service,Using a debit or ATM card,Bank of America,CA,No,17
Credit reporting,Credit reporting company's investigation,Equifax,VA,Yes,12
Mortgage,"Loan servicing, payments, escrow account",Dovenmuehle Mortgage Inc.,FL,Yes,12
Payday loan,Charged fees or interest I didn't expect,"Citizens Financial Group, Inc.",MA,No,3
Mortgage,Settlement process and costs,Ocwen,MA,Yes,8
Credit card,Collection debt dispute,TD Bank US Holding Company,AZ,Yes,5
Debt collection,"Loan modification,collection,foreclosure",Resurgent Capital Services L.P.,GA,No,13
Credit card,Late fee,Discover,MA,No,0
Bank account or service,Problems caused by my funds being low,Wells Fargo & Company,CA,No,9
Mortgage,"Loan servicing, payments, escrow account","Shellpoint Partners, LLC",NJ,No,13
Debt collection,False statements or representation,Encore Capital Group,TX,No,0
Consumer Loan,Problems when you are unable to pay,Citibank,WI,No,3
Credit card,Advertising and marketing,Citibank,CA,No,3
Bank account or service,Deposits and withdrawals,JPMorgan Chase & Co.,GA,No,7
Money transfers,Fraud or scam,The Western Union Company,MA,No,14
Student loan,Dealing with my lender or servicer,Genesis Lending,CA,No,19
Mortgage,"Application, originator, mortgage broker",PHH Mortgage,MN,Yes,8
Consumer Loan,Taking out the loan or lease,GM Financial,DC,No,19
Mortgage,"Loan servicing, payments, escrow account",JPMorgan Chase & Co.,NY,No,7
Credit card,Credit card protection / Debt protection,Bank of America,NY,No,17
Debt collection,Taking/threatening an illegal action,CNG Financial Corporation,IL,No,3
Consumer Loan,Problems when you are unable to pay,GM Financial,OH,Yes,12
Bank account or service,"Account opening, closing, or management",Citibank,MD,Yes,10
Debt collection,False statements or representation,Encore Capital Group,GA,No,0
Credit card,Identity theft / Fraud / Embezzlement,Fifth Third Financial Corporation,FL,Yes,12
Mortgage,"Loan servicing, payments, escrow account",Loan Care,FL,No,7
Debt collection,Taking/threatening an illegal action,Bluestein Hirsch and Associates,NJ,No,17
Mortgage,"Application, originator, mortgage broker",Ditech Financial LLC,MA,Yes,12
Credit card,Billing statement,Discover,DE,Yes,12
Credit reporting,Credit reporting company's investigation,Equifax,NJ,No,0
Debt collection,Taking/threatening an illegal action,"Northeast Receivables Management, LLC",VT,No,16
Credit reporting,Credit monitoring or identity protection,Equifax,FL,No,0
Debt collection,"Loan modification,collection,foreclosure",SquareTwo Financial Corporation,MD,No,2
Mortgage,"Loan servicing, payments, escrow account",Loan Care,TN,No,7
Debt collection,Taking/threatening an illegal action,"Expert Global Solutions, Inc.",CO,No,0
Mortgage,"Loan servicing, payments, escrow account",Ditech Financial LLC,AZ,Yes,12
Mortgage,"Loan servicing, payments, escrow account",Ocwen,NJ,No,6
Bank account or service,Deposits and withdrawals,JPMorgan Chase & Co.,WA,Yes,1
Credit card,Rewards,Amex,CA,Yes,4
Credit reporting,Credit reporting company's investigation,Equifax,CA,Yes,12
Mortgage,"Loan servicing, payments, escrow account",Ditech Financial LLC,TX,No,0
Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,CA,No,16
Credit reporting,Unable to get credit report/credit score,Equifax,WA,No,0
Debt collection,"Loan modification,collection,foreclosure","Credit Systems International, Inc.",FL,Yes,12
Bank account or service,Deposits and withdrawals,"SunTrust Banks, Inc.",VA,No,2
Credit reporting,Credit reporting company's investigation,Experian,TX,No,0
Debt collection,Improper contact or sharing of info,"Emerald Canyon Capital, LLC",PA,No,0
Debt collection,Taking/threatening an illegal action,Penn Credit Corporation,PA,No,6
Consumer Loan,Managing the loan or lease,Citibank,TN,No,3
Debt collection,"Loan modification,collection,foreclosure",Encore Capital Group,NY,No,0
Mortgage,Settlement process and costs,Real Time Resolutions,CA,No,13
Bank account or service,Problems caused by my funds being low,Comerica,WI,No,3
Credit card,Rewards,Amex,NC,No,11
Debt collection,Taking/threatening an illegal action,Trustmark Corporation,NC,No,14
Bank account or service,"Account opening, closing, or management",Citibank,IL,Yes,10
Debt collection,"Loan modification,collection,foreclosure",Encore Capital Group,CT,No,0
Mortgage,Settlement process and costs,PNC Bank N.A.,CA,No,6
Credit card,Closing/Cancelling account,Bank of America,OR,No,17
Debt collection,"Loan modification,collection,foreclosure",Amex,NJ,Yes,4
Debt collection,Taking/threatening an illegal action,"Solomon and Solomon, P.C.",NY,No,2
Debt collection,"Loan modification,collection,foreclosure","Pinnacle Credit Services, LLC",LA,Yes,8
Bank account or service,"Account opening, closing, or management",Wells Fargo & Company,CA,No,9
Debt collection,"Loan modification,collection,foreclosure","Bull City Financial Solutions, Inc",FL,No,17
Credit card,Payoff process,Synchrony Financial,NC,No,2
Credit card,Delinquent account,Navy FCU,TN,No,16
Student loan,Dealing with my lender or servicer,"Navient Solutions, Inc.",NY,No,16
Mortgage,Credit decision / Underwriting,Wells Fargo & Company,NM,No,9
Debt collection,"Loan modification,collection,foreclosure","C.Tech Collections, Inc.",NY,No,17
Debt collection,Communication tactics,Everest Receivable Services Inc.,NY,No,0
Mortgage,"Application, originator, mortgage broker",JPMorgan Chase & Co.,MD,No,7
Mortgage,Settlement process and costs,Wells Fargo & Company,NY,No,9
Debt collection,False statements or representation,"First National Collection Bureau, Inc.",CA,No,19
Debt collection,Communication tactics,Financial Management Solutions,MD,Yes,12
Consumer Loan,Managing the loan or lease,U.S. Bancorp,CA,No,14
Credit card,Application processing delay,Capital One,IL,Yes,10
Bank account or service,Deposits and withdrawals,Wells Fargo & Company,AZ,Yes,15
Student loan,Problems when you are unable to pay,AES/PHEAA,IN,No,11
Debt collection,Improper contact or sharing of info,"Account Discovery Systems, LLC",AR,No,11
Consumer Loan,Managing the loan or lease,Fifth Third Financial Corporation,MN,No,0
Mortgage,"Loan servicing, payments, escrow account",Wells Fargo & Company,NY,Yes,15
Debt collection,"Loan modification,collection,foreclosure","PMAB, LLC",VA,No,6
Credit reporting,Unable to get credit report/credit score,Equifax,FL,No,0
Debt collection,False statements or representation,Discover,IN,Yes,12
Mortgage,"Loan servicing, payments, escrow account","Pacific Union Financial, LLC",IL,No,6
Debt collection,False statements or representation,Collection Technology Incorporated,MI,No,3
Mortgage,"Application, originator, mortgage broker",Wells Fargo & Company,CA,No,9
Credit reporting,Unable to get credit report/credit score,Experian,MO,No,0
Credit card,Delinquent account,Capital One,NY,Yes,10
Mortgage,Settlement process and costs,Ditech Financial LLC,OH,No,0
Bank account or service,"Account opening, closing, or management",Navy FCU,FL,No,16
Money transfers,Fraud or scam,MoneyGram,NJ,No,16
Debt collection,Communication tactics,JPMorgan Chase & Co.,CT,No,7
Student loan,Dealing with my lender or servicer,Great Lakes,TX,No,19
Mortgage,"Loan servicing, payments, escrow account",M&T Bank Corporation,CA,No,7
Student loan,Repaying your loan,AES/PHEAA,IA,No,11
Credit reporting,Improper use of my credit report,"TransUnion Intermediate Holdings, Inc.",TX,No,14
Debt collection,Communication tactics,AES/PHEAA,NC,No,11
Debt collection,False statements or representation,"Brightwater Capital, LLC",CA,No,17
Mortgage,"Loan servicing, payments, escrow account",Ocwen,CA,No,6
Debt collection,False statements or representation,HSBC North America Holdings Inc.,CA,No,19
Debt collection,"Loan modification,collection,foreclosure","Fidelity Capital Holdings, Inc.",GA,Yes,12
Credit reporting,Unable to get credit report/credit score,"TransUnion Intermediate Holdings, Inc.",NY,No,14
Consumer Loan,Managing the loan or lease,PNC Bank N.A.,NJ,Yes,8
Bank account or service,Problems caused by my funds being low,Regions Financial Corporation,FL,No,13
Bank account or service,Deposits and withdrawals,Santander Bank US,CT,No,13
Debt collection,"Loan modification,collection,foreclosure","Afni, Inc.",TX,No,11
Student loan,Dealing with my lender or servicer,AES/PHEAA,OH,Yes,4
Credit card,Billing disputes,Citibank,MN,No,3
Debt collection,"Loan modification,collection,foreclosure",Encore Capital Group,OH,Yes,12
Debt collection,"Loan modification,collection,foreclosure",General Credit Service Inc.,CA,No,19
Bank account or service,"Account opening, closing, or management",Discover,AZ,Yes,12
Mortgage,"Loan servicing, payments, escrow account",Specialized Loan Servicing LLC,NV,No,2
Bank account or service,"Making/receiving payments, sending money","PayPal Holdings, Inc.",NJ,No,6
Student loan,Can't repay my loan,"Navient Solutions, Inc.",MI,No,16
Credit card,Closing/Cancelling account,Sterling Jewelers Inc.,FL,Yes,5
Mortgage,"Loan servicing, payments, escrow account",Ditech Financial LLC,PA,No,0
Student loan,Can't repay my loan,"Navient Solutions, Inc.",IN,No,16
Credit reporting,Credit reporting company's investigation,Equifax,TN,Yes,12
Bank account or service,Deposits and withdrawals,USAA Savings,LA,No,14
Credit card,Billing disputes,Synchrony Financial,CA,No,2
Credit card,Billing disputes,Amex,MA,Yes,4
Consumer Loan,Managing the loan or lease,U.S. Bancorp,CA,No,14
Student loan,Can't repay my loan,PNC Bank N.A.,TX,Yes,8
Bank account or service,Deposits and withdrawals,The Huntington National Bank,PA,No,2
Credit reporting,Credit reporting company's investigation,"Fidelity National Information Services, Inc. (FNIS)",NY,No,0
Credit reporting,Unable to get credit report/credit score,Experian,NJ,No,0
Debt collection,False statements or representation,Specialized Loan Servicing LLC,CA,No,2
Bank account or service,"Making/receiving payments, sending money",Wells Fargo & Company,FL,No,9
Credit card,Customer service / Customer relations,Amex,NJ,Yes,4
Credit card,Closing/Cancelling account,JPMorgan Chase & Co.,NC,Yes,1
Bank account or service,Problems caused by my funds being low,Citibank,IL,No,3
Credit card,Billing disputes,JPMorgan Chase & Co.,FL,Yes,1
Bank account or service,Deposits and withdrawals,USAA Savings,OR,No,14
Mortgage,"Loan servicing, payments, escrow account",Ocwen,CO,No,6
Mortgage,"Application, originator, mortgage broker",PNC Bank N.A.,NC,No,6
Mortgage,"Loan servicing, payments, escrow account",Wells Fargo & Company,GA,No,9
Mortgage,"Loan servicing, payments, escrow account",Network Capital Funding Corporation,WI,Yes,8
Credit card,Credit determination,JPMorgan Chase & Co.,VA,Yes,1
Debt collection,Taking/threatening an illegal action,"Advance America, Cash Advance Centers, Inc.",VA,No,11
Student loan,Dealing with my lender or servicer,ACS Education Services,OH,No,11
Credit reporting,Improper use of my credit report,"TransUnion Intermediate Holdings, Inc.",NC,Yes,5
Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,FL,No,16
Mortgage,Settlement process and costs,"Select Portfolio Servicing, Inc",FL,No,13
Debt collection,Communication tactics,Performant Financial Corporation,MO,No,6
Bank account or service,Deposits and withdrawals,"Citizens Financial Group, Inc.",MA,Yes,10
Student loan,Dealing with my lender or servicer,"Navient Solutions, Inc.",GA,No,16
Mortgage,"Loan servicing, payments, escrow account",TD Bank US Holding Company,NJ,No,2
Bank account or service,Deposits and withdrawals,Wells Fargo & Company,CA,Yes,15
Mortgage,"Loan servicing, payments, escrow account","Nationwide Biweekly Administration, Inc",CA,No,16
Mortgage,"Loan servicing, payments, escrow account",PNC Bank N.A.,GA,No,6
Debt collection,"Loan modification,collection,foreclosure","NRA Group, LLC",NY,No,16
Debt collection,Communication tactics,"Northland Group, Inc.",CO,No,6
Mortgage,"Loan servicing, payments, escrow account",U.S. Bancorp,AZ,No,14
Mortgage,"Loan servicing, payments, escrow account",Wells Fargo & Company,FL,Yes,15
Debt collection,"Loan modification,collection,foreclosure",Gryphon Corp,MD,Yes,1
Payday loan,Charged fees or interest I didn't expect,"Platinum Holdings Group, LLC",CA,No,6
Bank account or service,Using a debit or ATM card,TD Bank US Holding Company,NJ,No,2
Debt collection,"Loan modification,collection,foreclosure",Encore Capital Group,CA,No,0
Credit reporting,Credit reporting company's investigation,Equifax,NY,Yes,12
Debt collection,Communication tactics,"Portfolio Recovery Associates, Inc.",NY,No,6
Student loan,Can't repay my loan,Discover,PA,No,0
Credit reporting,Credit reporting company's investigation,Experian,OR,No,0
Debt collection,Communication tactics,Discover,IL,No,0
Payday loan,Charged fees or interest I didn't expect,Delbert Services,OH,No,0
Mortgage,"Loan servicing, payments, escrow account",Real Time Resolutions,MI,No,13
Bank account or service,Problems caused by my funds being low,BMO Harris,IL,No,17
Credit reporting,Unable to get credit report/credit score,Equifax,NC,No,0
Student loan,Dealing with my lender or servicer,AES/PHEAA,PA,No,11
Bank account or service,"Account opening, closing, or management",Wells Fargo & Company,FL,Yes,15
Mortgage,"Loan servicing, payments, escrow account",Wells Fargo & Company,CA,No,9
Mortgage,"Application, originator, mortgage broker",PNC Bank N.A.,PA,No,6
Mortgage,"Loan servicing, payments, escrow account",Wells Fargo & Company,PA,No,9
Credit card,Identity theft / Fraud / Embezzlement,Citibank,MI,No,3
Mortgage,"Loan servicing, payments, escrow account",Ocwen,NC,No,6
Bank account or service,Deposits and withdrawals,"Citizens Financial Group, Inc.",PA,No,3
Credit reporting,Credit reporting company's investigation,Equifax,TX,No,0
Mortgage,"Loan servicing, payments, escrow account",Wells Fargo & Company,PA,No,9
Mortgage,"Loan servicing, payments, escrow account",CIT Bank National Association,CA,No,3
Bank account or service,Using a debit or ATM card,JPMorgan Chase & Co.,IL,No,7
Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,CA,Yes,8
Credit card,Delinquent account,Bank of America,FL,No,17
Credit card,Customer service / Customer relations,Capital One,CA,No,3
Mortgage,"Loan servicing, payments, escrow account",People's United Bank,CT,No,6
Debt collection,Communication tactics,Ford Motor Credit Company,RI,No,19
Debt collection,Communication tactics,Synchrony Financial,SC,No,2
Credit card,Credit card protection / Debt protection,Citibank,CA,No,3
Prepaid card,"Managing, opening, or closing account",Amex,NY,No,11
Credit card,Identity theft / Fraud / Embezzlement,Citibank,NJ,Yes,10
Debt collection,Communication tactics,"Amsher Collection Services, Inc.",MD,Yes,4
Bank account or service,Deposits and withdrawals,Bank of America,WA,No,17
Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,AZ,Yes,8
Mortgage,"Loan servicing, payments, escrow account",Wells Fargo & Company,AR,No,9
Bank account or service,Deposits and withdrawals,TD Bank US Holding Company,MA,No,2
Mortgage,Settlement process and costs,JPMorgan Chase & Co.,OR,No,7
Money transfers,Fraud or scam,"PayPal Holdings, Inc.",NJ,No,6
Student loan,Problems when you are unable to pay,Wells Fargo & Company,MN,No,9
Mortgage,"Loan servicing, payments, escrow account",Zions Bancorporation,CO,Yes,15
Debt collection,Improper contact or sharing of info,Cade Investments LLC,CA,No,3
Credit card,Unsolicited issuance of credit card,Barclays PLC,TX,No,17
Credit card,Application processing delay,Discover,CA,No,0
Credit card,Credit card protection / Debt protection,Bank of America,IL,Yes,4
Credit card,Closing/Cancelling account,Barclays PLC,CA,Yes,4
Consumer Loan,Problems when you are unable to pay,Tower Loan,LA,No,14
Mortgage,"Loan servicing, payments, escrow account",Wells Fargo & Company,CA,Yes,15
Debt collection,"Loan modification,collection,foreclosure","State Collection Service, Inc.",WI,Yes,5
Bank account or service,"Account opening, closing, or management",PNC Bank N.A.,OH,No,6
Student loan,Dealing with my lender or servicer,"Navient Solutions, Inc.",MI,Yes,8
Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,MA,No,16
Debt collection,"Loan modification,collection,foreclosure","GLA Collection Company, Inc.",SC,Yes,12
Debt collection,"Loan modification,collection,foreclosure",Quality Loan Service Corporation,CA,No,13
Debt collection,False statements or representation,"Enova International, Inc.",LA,No,0
Debt collection,Improper contact or sharing of info,Burke Costanza & Carberry LLP,IN,No,17
Bank account or service,"Account opening, closing, or management",Bank of America,GA,No,17
Mortgage,"Loan servicing, payments, escrow account",Bank of America,NC,No,17
Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,AZ,No,16
Bank account or service,"Making/receiving payments, sending money",Synchrony Financial,IL,No,2
Mortgage,"Loan servicing, payments, escrow account",PHH Mortgage,VA,No,6
Debt collection,Communication tactics,"EOS Holdings, Inc.",NJ,No,0
Bank account or service,Deposits and withdrawals,"Citizens Financial Group, Inc.",PA,No,3
Debt collection,Communication tactics,Exeter Finance Corp,WI,No,0
Debt collection,False statements or representation,Experian,CA,No,0
Credit card,Advertising and marketing,U.S. Bancorp,FL,No,14
Debt collection,False statements or representation,"Financial Filing & Reporting, Inc.",TX,No,0
Consumer Loan,Managing the loan or lease,"Westlake Services, LLC",OH,No,9
Money transfers,Money was not available when promised,Santander Bank US,NY,No,13
Mortgage,Settlement process and costs,Bank of America,CA,Yes,4
Credit card,Billing disputes,Bank of America,NY,Yes,4
Credit reporting,Credit monitoring or identity protection,Equifax,TN,Yes,12
Debt collection,Communication tactics,"OneMain Financial Holdings, LLC",TN,No,6
Credit reporting,Credit reporting company's investigation,"TransUnion Intermediate Holdings, Inc.",MI,Yes,5
Credit card,Billing disputes,Capital One,CA,No,3
Debt collection,Communication tactics,Discover,SC,No,0
Debt collection,Improper contact or sharing of info,Citibank,PA,Yes,10
Mortgage,Settlement process and costs,Bank of America,NY,No,17
Mortgage,"Application, originator, mortgage broker",Navy FCU,GA,No,16
Credit reporting,Credit monitoring or identity protection,Experian,IL,No,0
Mortgage,"Loan servicing, payments, escrow account",Loan Care,CO,No,7
Bank account or service,"Making/receiving payments, sending money",JPMorgan Chase & Co.,NC,Yes,1
Bank account or service,"Account opening, closing, or management",Wells Fargo & Company,AZ,No,9
Consumer Loan,Shopping for a loan or lease,Toyota Motor Credit Corporation,VA,No,14
Mortgage,Credit decision / Underwriting,Veritas Funding LLC,UT,No,9
Bank account or service,Problems caused by my funds being low,Fifth Third Financial Corporation,FL,No,0
Mortgage,"Application, originator, mortgage broker",Bank of America,FL,No,17
Student loan,Dealing with my lender or servicer,Nelnet,NC,No,16
Credit reporting,Credit reporting company's investigation,Equifax,AR,Yes,12
Student loan,Dealing with my lender or servicer,"Navient Solutions, Inc.",GA,No,16
Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,PA,Yes,8
Bank account or service,Problems caused by my funds being low,"Citizens Financial Group, Inc.",NY,No,3
Debt collection,Communication tactics,Avante,KY,No,17
Credit card,Delinquent account,Synchrony Financial,IL,Yes,5
Mortgage,"Application, originator, mortgage broker",Bank of America,NY,No,17
Debt collection,False statements or representation,"Westlake Services, LLC",CA,Yes,15
Bank account or service,Problems caused by my funds being low,Bank of America,CA,No,17
Mortgage,"Application, originator, mortgage broker",Capital One,VA,No,3
Mortgage,"Loan servicing, payments, escrow account",JPMorgan Chase & Co.,CA,Yes,1
Mortgage,"Loan servicing, payments, escrow account",Ocwen,CA,No,6
Student loan,Can't repay my loan,Discover,LA,No,0
Debt collection,"Loan modification,collection,foreclosure",ERC,FL,No,0
Credit reporting,Unable to get credit report/credit score,Equifax,CT,No,0
Bank account or service,Using a debit or ATM card,U.S. Bancorp,CA,No,14
Bank account or service,"Account opening, closing, or management",JPMorgan Chase & Co.,CA,Yes,1
Credit card,Billing disputes,Discover,NY,Yes,12
Bank account or service,"Account opening, closing, or management",Synchrony Financial,ID,No,2
Credit card,Billing disputes,Capital One,HI,No,3
Debt collection,Improper contact or sharing of info,"Navient Solutions, Inc.",LA,No,16
Bank account or service,Deposits and withdrawals,Fifth Third Financial Corporation,GA,No,0
Debt collection,False statements or representation,ERC,IN,No,0
Credit reporting,Credit reporting company's investigation,Equifax,SC,Yes,12
Debt collection,Communication tactics,"Southwest Credit Systems, L.P.",TX,Yes,5
Debt collection,Improper contact or sharing of info,"Enova International, Inc.",OH,No,0
Money transfers,Wrong amount charged or received,Santander Bank US,MA,No,13
Credit card,Identity theft / Fraud / Embezzlement,Capital One,FL,No,3
Debt collection,Communication tactics,Alorica Inc.,NJ,No,11
Bank account or service,Deposits and withdrawals,Wells Fargo & Company,NV,No,9
Debt collection,False statements or representation,"Expert Global Solutions, Inc.",VA,Yes,12
Credit card,Billing disputes,JPMorgan Chase & Co.,MA,Yes,1
Debt collection,Taking/threatening an illegal action,"World Recovery Service, LLC",FL,No,9
Debt collection,"Loan modification,collection,foreclosure",First Credit Services Inc.,NC,No,19
Mortgage,"Loan servicing, payments, escrow account",Round Point Mortgage,FL,No,13
Debt collection,Improper contact or sharing of info,Encore Capital Group,NE,No,0
