Product,Issue,Company,State,Consumer disputed?,Cluster
Mortgage,"Loan servicing, payments, escrow account",USAA Savings,CA,No,14
Credit card,Forbearance / Workout plans,Amex,RI,No,11
Bank account or service,Problems caused by my funds being low,"Citizens Financial Group, Inc.",RI,No,3
Debt collection,"Loan modification,collection,foreclosure",Bank of America,TX,No,17
Bank account or service,Using a debit or ATM card,Bank of America,PA,No,17
Credit card,Credit line increase/decrease,Capital One,NY,No,3
Consumer Loan,Taking out the loan or lease,Wells Fargo & Company,FL,No,9
Debt collection,"Loan modification,collection,foreclosure","Business Revenue Systems, Inc.",IN,No,17
Consumer Loan,Managing the loan or lease,Delbert Services,IL,No,0
Debt collection,"Loan modification,collection,foreclosure","Commonwealth Financial Systems, Inc.",TX,Yes,10
Mortgage,"Loan servicing, payments, escrow account",Wells Fargo & Company,KY,Yes,15
Credit card,Credit determination,"Citizens Financial Group, Inc.",CA,Yes,10
Mortgage,"Loan servicing, payments, escrow account",Ocwen,IN,No,6
Bank account or service,Deposits and withdrawals,Bank of America,CA,Yes,4
Debt collection,"Loan modification,collection,foreclosure","I.C. System, Inc.",CA,No,7
Mortgage,"Application, originator, mortgage broker",Bank of America,TX,No,17
Debt collection,"Loan modification,collection,foreclosure","Valentine and Kebartas, Inc.",LA,No,9
Mortgage,Credit decision / Underwriting,Wells Fargo & Company,NE,Yes,15
Credit card,Billing disputes,JPMorgan Chase & Co.,IL,Yes,1
Credit card,Billing disputes,Citibank,NV,No,3
Debt collection,Taking/threatening an illegal action,"Advance America, Cash Advance Centers, Inc.",TX,No,11
Mortgage,"Loan servicing, payments, escrow account","Select Portfolio Servicing, Inc",MA,Yes,18
Student loan,Can't repay my loan,First Associates Loan Servicing LLC,TX,No,19
Consumer Loan,Managing the loan or lease,Ally Financial Inc.,KY,No,11
Credit reporting,Improper use of my credit report,"TransUnion Intermediate Holdings, Inc.",TX,No,14
Bank account or service,Deposits and withdrawals,BBVA Compass,TX,No,17
Bank account or service,"Account opening, closing, or management",HSBC North America Holdings Inc.,OH,Yes,1
Mortgage,"Loan servicing, payments, escrow account",Arbor Residential Mortgage LLC,OR,No,11
Mortgage,"Loan servicing, payments, escrow account",Ditech Financial LLC,IL,No,0
Bank account or service,Using a debit or ATM card,BNY Mellon,CA,Yes,4
Debt collection,Taking/threatening an illegal action,"Eastern Revenue, Inc",PA,No,0
Credit card,Collection practices,JPMorgan Chase & Co.,NY,No,7
Debt collection,"Loan modification,collection,foreclosure","Portfolio Recovery Associates, Inc.",NC,No,6
Mortgage,"Loan servicing, payments, escrow account",Provident Funding,FL,Yes,18
Mortgage,"Loan servicing, payments, escrow account",HSBC North America Holdings Inc.,UT,No,19
Credit reporting,Credit monitoring or identity protection,"Credit Karma, Inc.",FL,No,0
Debt collection,False statements or representation,"Frederick J. Hanna & Associates, P.C. (closed)",GA,No,19
Mortgage,"Application, originator, mortgage broker",USAA Savings,OR,No,14
Credit reporting,Improper use of my credit report,Innovis,VA,No,7
Prepaid card,Unauthorized transactions/trans. issues,"Empowerment Ventures, LLC",NC,No,0
Mortgage,Credit decision / Underwriting,Citibank,PA,No,3
Bank account or service,"Account opening, closing, or management",USAA Savings,CA,No,14
Payday loan,Can't contact lender,Speedy Cash Holdings,KS,No,2
Credit card,Closing/Cancelling account,JPMorgan Chase & Co.,NY,No,7
Credit card,Late fee,Citibank,NE,No,3
Bank account or service,Problems caused by my funds being low,"Citizens Financial Group, Inc.",PA,No,3
Mortgage,"Loan servicing, payments, escrow account",Ocwen,CA,Yes,8
Credit card,Transaction issue,Discover,OK,No,0
Credit card,Credit determination,Synchrony Financial,FL,No,2
Student loan,Dealing with my lender or servicer,Southern Management Systems Inc.,NY,No,2
Mortgage,"Loan servicing, payments, escrow account",Bank of America,CA,No,17
Bank account or service,"Account opening, closing, or management",Scottrade Bank,CA,Yes,18
Debt collection,"Loan modification,collection,foreclosure","Caliber Home Loans, Inc",GA,No,3
Credit reporting,Improper use of my credit report,Experian,TX,No,0
Credit card,Advertising and marketing,U.S. Bancorp,TX,No,14
Credit card,Identity theft / Fraud / Embezzlement,"Citizens Financial Group, Inc.",OH,No,3
Debt collection,Improper contact or sharing of info,"Lockhart, Morris & Montgomery Inc.",FL,No,7
Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,IL,No,16
Credit card,Identity theft / Fraud / Embezzlement,Discover,WI,No,0
Bank account or service,Deposits and withdrawals,"SunTrust Banks, Inc.",FL,No,2
Debt collection,"Loan modification,collection,foreclosure","Bull City Financial Solutions, Inc",VA,No,17
Debt collection,False statements or representation,Encore Capital Group,MI,Yes,12
Bank account or service,Deposits and withdrawals,JPMorgan Chase & Co.,NY,No,7
Mortgage,"Loan servicing, payments, escrow account",Ditech Financial LLC,NV,Yes,12
Credit reporting,Credit reporting company's investigation,Experian,MA,No,0
Mortgage,"Loan servicing, payments, escrow account",Citibank,NC,No,3
Payday loan,Charged fees or interest I didn't expect,"Enova International, Inc.",MD,No,0
Debt collection,False statements or representation,Penn Credit Corporation,NJ,No,6
Credit card,Credit determination,Barclays PLC,MO,No,17
Credit card,Rewards,Discover,AZ,Yes,12
Credit reporting,Credit reporting company's investigation,Experian,WI,Yes,12
Bank account or service,"Account opening, closing, or management",JPMorgan Chase & Co.,NY,No,7
Consumer Loan,Managing the loan or lease,Delbert Services,HI,Yes,12
Bank account or service,Deposits and withdrawals,BBVA Compass,CA,No,17
Bank account or service,Deposits and withdrawals,Wells Fargo & Company,FL,No,9
Debt collection,Communication tactics,"Expert Global Solutions, Inc.",PA,No,0
Mortgage,"Loan servicing, payments, escrow account",Bank of America,NV,No,17
Debt collection,Improper contact or sharing of info,"Expert Global Solutions, Inc.",OK,No,0
Debt collection,Communication tactics,"Convergent Resources, Inc.",CA,No,3
Mortgage,"Application, originator, mortgage broker",Wells Fargo & Company,FL,No,9
Mortgage,"Loan servicing, payments, escrow account",Ditech Financial LLC,MI,No,0
Prepaid card,"Managing, opening, or closing account","PayPal Holdings, Inc.",CA,No,6
Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,VA,No,16
Credit card,Advertising and marketing,"PayPal Holdings, Inc.",CA,No,6
Credit card,Identity theft / Fraud / Embezzlement,Capital One,MN,No,3
Bank account or service,"Account opening, closing, or management",Wells Fargo & Company,CA,No,9
Consumer Loan,Taking out the loan or lease,Fifth Third Financial Corporation,CA,No,0
Debt collection,False statements or representation,"Meridian Financial Services, Inc.",SC,No,16
Debt collection,False statements or representation,Allied Interstate LLC,MA,No,11
Consumer Loan,Managing the loan or lease,M&T Bank Corporation,IL,Yes,1
Credit reporting,Credit monitoring or identity protection,Equifax,NC,No,0
Bank account or service,"Account opening, closing, or management",PNC Bank N.A.,NJ,No,6
Mortgage,"Application, originator, mortgage broker","PennyMac Loan Services, LLC",CA,No,6
Student loan,Can't repay my loan,"Navient Solutions, Inc.",PA,No,16
Credit card,Payoff process,Bank of America,MA,No,17
Debt collection,Communication tactics,"Meade & Associates, Inc.",OH,No,16
Debt collection,"Loan modification,collection,foreclosure","Expert Global Solutions, Inc.",TX,No,0
Debt collection,Communication tactics,TrueAccord Corp.,NC,Yes,5
Debt collection,False statements or representation,"Cavalry Investments, LLC",GA,No,3
Debt collection,"Loan modification,collection,foreclosure","Eltman Law, P.C.",NJ,Yes,12
Mortgage,"Loan servicing, payments, escrow account",Ocwen,NV,Yes,8
Bank account or service,Deposits and withdrawals,U.S. Bancorp,MO,No,14
Mortgage,"Loan servicing, payments, escrow account","Seterus, Inc.",OH,No,13
Credit card,Closing/Cancelling account,Discover,OH,No,0
Bank account or service,Using a debit or ATM card,BBVA Compass,AZ,Yes,4
Debt collection,Communication tactics,"Professional Debt Mediation, Inc.",FL,No,6
Debt collection,Communication tactics,Citibank,CA,No,3
Mortgage,"Loan servicing, payments, escrow account",U.S. Bancorp,TN,No,14
Mortgage,Credit decision / Underwriting,JPMorgan Chase & Co.,WA,Yes,1
